id,name,lat,lon,address_line1,town,state,postcode,country,operator,usage_cost_raw,price_sort_value,price_available,price_source,last_seen_epoch
157463,Canterbury Bankstown Council,-33.90764109899798,151.1039129846189,21 Shakespeare St,Campsie,NSW,2194,,,Free,0.0,True,OCM,1778299294
157457,Charles Street Parking/Charging,-33.91148886722056,151.11746314177572,10B Charles St,Canterbury,NSW,,,,Free,0.0,True,OCM,1778299294
210904,Cherrybrook Village,-33.721132,151.04396,41-47 Shepherds Drive,CHERRYBROOK,New South Wales,2126,,,Free,0.0,True,OCM,1778299305
210903,Cherrybrook Village - Basement Carpark,-33.721132,151.04396,41-47 Shepherds Drive,CHERRYBROOK,New South Wales,2126,,,Free,0.0,True,OCM,1778299305
52844,Crowne Plaza Terrigal,-33.4484777280442,151.445479384747,Pinetree Lane,Terrigal,NSW,2260,,,Free,0.0,True,OCM,1778299323
212646,Eastern Creek Quarter,-33.78477823234724,150.8530576715741,159 Rooty Hill Road South,Eastern Creek,New South Wales,2766,,,Free,0.0,True,OCM,1778299292
204317,ECQ XL,-33.78758418286377,150.854268328623,Easter Creek Quarter XL,Eastern Creek ,New South Wales,2766,,,Free,0.0,True,OCM,1778299292
190055,Eden Gardens,-33.78064947709375,151.13421887082995,Eden Gardens,Macquarie Park,New South Wales,2113,,,Free,0.0,True,OCM,1778299294
131564,Figtree Grove Shopping Centre ,-34.43743163189117,150.86340370780567,The Avenue,Figtree ,New South Wales,2525,,,Free,0.0,True,OCM,1778299263
157456,"Georges River Council, Carlton Depot",-33.96493620946319,151,11 Dora St,Hurstville,NSW,2220,,,Free,0.0,True,OCM,1778299281
190053,Giffnock Avenue,-33.78254134090367,151.1230831406915,22 Giffnock Avenue,Macquarie Park,NSW,2113,,,Free,0.0,True,OCM,1778299294
190054,Hillcrest Road,-33.73724500047699,151.07106994908884,Hillcrest Road,,New South Wales,2120,,,Free,0.0,True,OCM,1778299305
131610,Innovation Campus - University of Wollongong,-34.40010718082921,150.8996891900606,Off Innovation Way,North Wollongong,New South Wales,2500,,,Free,0.0,True,OCM,1778299265
131563,Jax EV @ Warrawong Plaza,-34.4868830425302,150.890772967401,Corner King St & Cowper Street,Warrawong,New South Wales,2502,,,Free,0.0,True,OCM,1778299265
190875,Kensington [Jolt],-33.907070570863254,151.22409119211284,110 Anzac Pde,Kensington,New South Wales,2033,,,$0.00/kWh up to 7 kWh then $0.40/kWh,0.0,True,OCM,1778299294
273904,Leppington Village Shopping Centre,-33.961508128351525,150.80570305129015,108 Ingleburn Rd,Leppington,NSW,2179,,,Free,0.0,True,OCM,1778299279
272614,Mirvac South Eveleigh,-33.8955812,151.1958121,2 Central Avenue,Eveleigh,New South Wales,2015,,,Free,0.0,True,OCM,1778299294
161844,Mittagong NRMA,-34.450559453605436,150.442468762437,9 Bessemer Street,Mittagong,NSW,2575,,,Currently free but will be fee at some point for non NRMA Members.,0.0,True,OCM,1778299262
190757,Mona Vale [JOLT],-33.67606087720165,151.30325795651265,2 Bungan St,Mona Vale,NSW,2103,,,$0.00/kWh up to 7 kWh then $0.46/kWh,0.0,True,OCM,1778299309
